"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*03llu*","Cheick Diallo","(N/A)","PF,F,C,Flx","748","FA","25","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0014k*","Guillermo Diaz","LAC","PG,SG,G,Flx","751","FA","36","PHO<br/>Mon 10:30PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04lhx*","Daniel Dixon","BOS","SG,G,Flx","754","FA","0","MIL<br/>Mon 7:30PM","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0013u*","Mike Dunleavy","(N/A)","SG,G,SF,F,Flx","770","FA","41","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05qxu*","Paul Eboua","(N/A)","SF,PF,F,Flx","776","FA","21","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*00133*","Monta Ellis","(N/A)","PG,SG,G,Flx","791","FA","36","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rxn*","Cristiano Felicio","(N/A)","C,Flx","816","FA","29","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0010k*","Raymond Felton","(N/A)","PG,SG,G,Flx","819","FA","37","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0483a*","Yogi Ferrell","(N/A)","PG,SG,G,Flx","822","FA","28","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*000zy*","Kevin Garnett","(N/A)","PF,F,C,Flx","860","FA","45","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*031mf*","Archie Goodwin","POR","PG,SG,G,Flx","874","FA","27","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0013z*","Danny Granger","(N/A)","SF,F,Flx","878","FA","38","","1.50","1st","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
